phrase	n	count	loglik	pages	proper	example	loose_key	head_key
londinensium archiepiscoporum	2	3	50.72	3	False	Londinensium archiepiscoporum	londinen archiepiscop	archiepiscop
successor datus	2	3	50.72	3	False	successor datus	successor dat	dat
justello edit	2	3	50.72	3	False	Justello edit	justell edit	edit
absque ullo	2	4	50.66	4	False	absque ullo	ab ull	ull
adventum christi	2	7	50.57	6	False	adventum Christi	advent christ	christ
eleutherio papa	2	4	50.5	3	False	Eleutherio papa	eleutheri pap	pap
matthaeo parisiensi	2	3	50.44	3	True	Matthaeo Parisiensi	matthae parisiens	parisiens
ait apostolus	2	4	50.4	4	False	ait apostolus	ait apostol	apostol
fidem christianam	2	5	50.29	5	False	fidem Christianam	fid christian	christian
magna glastoniensis	2	5	50.25	4	False	magna Glastoniensis	magn glastoniens	glastoniens
passionem domini	2	5	50.1	5	False	passionem Domini	passion domin	domin
pelagiana haeresi	2	4	50.1	4	False	Pelagiana haeresi	pelagian haeres	haeres
divinae gratiae	2	5	50.08	5	False	divinae gratiae	divin grati	grati
natale solum	2	4	50.06	3	False	natale solum	natal sol	sol
sanctorum philippi	2	4	50.03	3	False	sanctorum Philippi	sanct philipp	philipp
summo tiberii	2	3	49.89	3	False	summo Tiberii	summ tiberi	tiberi
idus martii	2	3	49.65	3	True	Idus Martii	id marti	marti
ter consuli	2	3	49.65	1	False	ter consuli	ter consul	consul
vita patricii	2	5	49.61	5	False	vita Patricii	vit patrici	patrici
omni clero	2	4	49.49	3	False	omni clero	omn cler	cler
pridie calendas	2	3	49.45	3	False	pridie Calendas	pridi calend	calend
regum anglorum	2	5	49.39	5	False	regum Anglorum	reg angl	angl
johannes stowaeus	2	4	49.11	4	True	Johannes Stowaeus	johann stowae	stowae
verbum vitae	2	5	49.03	4	False	verbum vitae	verb vit	vit
cujus pater	2	6	48.97	4	False	cujus pater	cuj pater	pater
robertus glocestrensis	2	3	48.92	3	True	Robertus Glocestrensis	robert glocestrens	glocestrens
antonino pio	2	3	48.89	2	True	Antonino Pio	antonin pi	pi
toto orbe	2	4	48.64	4	False	toto orbe	tot orb	orb
christianae religionis	2	4	48.64	4	False	Christianae religionis	christian religion	religion
tempus henrici	2	4	48.6	3	False	tempus Henrici	temp henric	henric
dei gratia	2	8	48.58	8	False	Dei gratia	de grati	grati
honorii augusti	2	3	48.49	3	True	Honorii Augusti	honori august	august
lucidum presbyterum	2	3	48.49	3	False	Lucidum presbyterum	lucid presbyt	presbyt
novi testamenti	2	3	48.21	3	False	novi Testamenti	nov testament	testament
justus lipsius	2	3	48.21	3	False	Justus Lipsius	just lipsi	lipsi
aetatis gradu	2	3	48.21	3	False	aetatis gradu	aetat gradu	gradu
vetus coenobium	2	4	48.09	3	False	vetus coenobium	vet coenob	coenob
albanus civis	2	3	48.09	3	False	Albanus civis	alban civ	civ
adjutorio dei	2	5	48.07	3	False	adjutorio Dei	adjutori de	de
annum salutis	2	5	47.94	5	False	annum salutis	ann salut	salut
antonini pii	2	3	47.86	2	True	Antonini Pii	antonin pi	pi
landavensium episcoporum	2	3	47.84	3	False	Landavensium episcoporum	landaven episcop	episcop
johannes major	2	5	47.82	5	False	Johannes Major	johann major	major
accusatoribus christianorum	2	3	47.82	2	False	accusatoribus Christianorum	accusator christian	christian
portiones terrae	2	3	47.82	2	False	portiones terrae	portion terr	terr
cantuariensem archiepiscopum	2	3	47.82	3	False	Cantuariensem archiepiscopum	cantuariens archiepiscop	archiepiscop
praedestinatione sanctorum	2	4	47.8	4	False	praedestinatione sanctorum	praedestination sanct	sanct
anglorum protomartyris	2	4	47.59	4	False	Anglorum protomartyris	angl protomartyr	protomartyr
totam britanniam	2	6	47.46	5	False	totam Britanniam	tot britanni	britanni
vita josephi	2	5	47.44	3	False	vita Josephi	vit joseph	joseph
romana ecclesia	2	5	47.36	5	False	Romana Ecclesia	roman ecclesi	ecclesi
solito more	2	3	47.36	3	False	solito more	solit mor	mor
disertis verbis	2	3	47.16	3	False	disertis verbis	disert verb	verb
religiosae vitae	2	3	47.05	3	False	religiosae vitae	religios vit	vit
mortalem factum	2	3	46.94	3	False	mortalem factum	mortal fact	fact
eboracensium archiepiscoporum	2	3	46.9	2	False	Eboracensium archiepiscoporum	eboracen archiepiscop	archiepiscop
sanctorum phagani	2	3	46.74	3	False	sanctorum Phagani	sanct phagan	phagan
gildas albanius	2	3	46.66	3	True	Gildas Albanius	gild albani	albani
archiepiscopo cantuariensi	2	3	46.5	3	False	archiepiscopo Cantuariensi	archiepiscop cantuariens	cantuariens
johannes nauclerus	2	4	46.48	4	True	Johannes Nauclerus	johann naucler	naucler
johannes rossus	2	4	46.48	4	True	Johannes Rossus	johann ross	ross
dextralis britanniae	2	4	46.45	4	False	dextralis Britanniae	dextral britanni	britanni
regnum deirorum	2	3	46.44	2	False	Regnum Deirorum	regn deir	deir
lingua anglosaxonica	2	3	46.25	3	False	lingua AngloSaxonica	lingu anglosaxonic	anglosaxonic
johanne capgravio	2	3	46.25	3	True	Johanne Capgravio	johann capgravi	capgravi
sancto germano	2	4	46.24	4	False	sancto Germano	sanct german	german
missa legatione	2	3	46.23	2	False	missa legatione	miss legation	legation
anglorum regem	2	6	46.22	4	False	Anglorum regem	angl reg	reg
originalis peccati	2	3	46.13	3	False	originalis peccati	original peccat	peccat
lucidi presbyteri	2	3	46.13	2	False	Lucidi presbyteri	lucid presbyter	presbyter
rogerus hovedenus	2	3	46.09	3	True	Rogerus Hovedenus	roger hoveden	hoveden
orientali parte	2	4	46.05	4	False	orientali parte	oriental part	part
parte boreali	2	3	45.89	2	False	parte boreali	part boreal	boreal
gallorum imperio	2	3	45.85	3	False	Gallorum imperio	gall imperi	imperi
aetii consulatum	2	3	45.85	3	False	Aetii consulatum	aeti consulat	consulat
prophetam regem	2	4	45.83	1	False	prophetam regem	prophet reg	reg
beato philippo	2	3	45.77	2	False	beato Philippo	beat philipp	philipp
albani reliquias	2	4	45.74	4	False	Albani reliquias	alban reliqui	reliqui
virum sanctum	2	4	45.56	4	False	virum sanctum	vir sanct	sanct
johannis tinmuthensis	2	4	45.4	3	True	Johannis Tinmuthensis	johann tinmuthens	tinmuthens
duobus geminis	2	3	45.34	2	False	duobus geminis	duob gemin	gemin
probatae fidei	2	3	45.31	3	False	probatae fidei	probat fide	fide
omnes consentiunt	2	4	45.27	4	False	omnes consentiunt	omn consentiunt	consentiunt
confiteri necesse	2	3	45.26	1	False	confiteri necesse	confiter necess	necess
beatissimi sacerdotes	2	3	45.26	3	False	beatissimi sacerdotes	beatissim sacerdot	sacerdot
inquit author	2	5	45.15	5	False	inquit author	inquit author	author
caesaraugustani episcopi	2	3	45.15	3	False	Caesaraugustani episcopi	caesaraugustan episcop	episcop
