head_key	phrase	count	pages	proper	example
erudit	apostolis eruditi	3	2	False	apostolis eruditi
erudit	vir eruditus	3	3	False	vir eruditus
ethelwerd	fabius ethelwerdus	9	9	True	Fabius Ethelwerdus
excessiss	vita excessisse	3	3	False	vita excessisse
explet	integrum expleto	3	3	False	integrum expleto
explet	necdum ad integrum expleto	3	3	False	necdum ad integrum expleto
facien	verba faciens	8	8	False	verba faciens
fact	mortalem factum	3	3	False	mortalem factum
fallor	ni fallor	4	4	False	ni fallor
faust	epistolam fausti	3	2	False	epistolam Fausti
ferrari	philippus ferrarius	3	3	True	Philippus Ferrarius
fid	christi fidem	6	5	False	Christi fidem
fid	christianam fidem	3	3	False	Christianam fidem
fid	historiae fidem	3	3	False	historiae fidem
fide	christianae fidei	3	2	False	Christianae fidei
fide	probatae fidei	3	3	False	probatae fidei
fide	verae fidei	3	2	False	verae fidei
fidel	christi fidelibus	3	3	False	Christi fidelibus
fin	italiae finibus	3	2	False	Italiae finibus
flet	johannes fletus	3	3	True	Johannes Fletus
floriacens	bibliotheca floriacensi	3	3	False	bibliotheca Floriacensi
florileg	matthaeus florilegus	30	28	True	Matthaeus Florilegus
florileg	matthaeo florilego	6	6	True	Matthaeo Florilego
florileg	matthaei florilegi	3	3	True	Matthaei Florilegi
flumin	ripam fluminis	4	4	False	ripam fluminis
forcatul	stephanus forcatulus	4	4	True	Stephanus Forcatulus
fordon	johannes fordonus	3	3	True	Johannes Fordonus
fortunat	venantius fortunatus	4	4	True	Venantius Fortunatus
funct	vita functum	4	3	False	vita functum
funct	vita functus	3	3	False	vita functus
fundat	nomine fundata	3	2	False	nomine fundata
garlandi	johannes de garlandia	5	5	False	Johannes de Garlandia
garsi	alphonsus garsias	3	3	True	Alphonsus Garsias
gemblacens	sigebertus gemblacensis	5	5	True	Sigebertus Gemblacensis
gemin	duobus geminis	3	2	False	duobus geminis
gen	humanum genus	4	4	False	humanum genus
gen	omne hominum genus	3	3	False	omne hominum genus
genetric	dei genetricis	6	6	False	Dei genetricis
gent	britannicae gentis	3	3	False	Britannicae gentis
gent	omnibus gentibus	4	4	False	omnibus gentibus
gent	scoticae gentis	3	2	False	Scoticae gentis
gent	solus forte romanae gentis	3	2	False	solus forte Romanae gentis
gerbrand	johannes gerbrandus	6	6	True	Johannes Gerbrandus
german	sancto germano	4	4	False	sancto Germano
german	sanctus germanus	3	3	False	sanctus Germanus
german	sancti germani	3	3	False	Sancti Germani
germani	libello de sanctis germaniae	3	3	False	libello de sanctis Germaniae
germani	sanctis germaniae	3	3	False	sanctis Germaniae
gessit	consulatum gessit	3	3	False	consulatum gessit
gest	rebus gestis	4	4	False	rebus gestis
gest	synodi gestis	3	3	False	synodi gestis
glastoni	abbates in glastonia	3	1	False	abbates in Glastonia
glastoniens	magna glastoniensis	5	4	False	magna Glastoniensis
glocestrens	robertus glocestrensis	3	3	True	Robertus Glocestrensis
gradu	aetatis gradu	3	3	False	aetatis gradu
grati	anno gratiae	18	14	False	anno gratiae
grati	annum gratiae	5	5	False	annum gratiae
grati	dei gratiam	17	14	False	Dei gratiam
grati	dei gratia	8	8	False	Dei gratia
grati	divinae gratiae	5	5	False	divinae gratiae
grati	implere per gratiam	3	2	False	implere per gratiam
grati	inimicos gratiae	7	6	False	inimicos gratiae
grati	natura et gratia	3	3	False	natura et gratia
haben	suffraganeos habens	3	1	False	suffraganeos habens
haber	nos habere	3	2	False	nos habere
haeres	pelagiana haeresis	6	6	False	Pelagiana haeresis
haeres	pelagiana haeresi	4	4	False	Pelagiana haeresi
haerese	pelagianae haereseos	6	6	False	Pelagianae haereseos
haeresi	pelagianam haeresim	18	16	False	Pelagianam haeresim
harding	johannes hardingus	6	6	True	Johannes Hardingus
harfeldi	thomas harfeldius	3	3	True	Thomas Harfeldius
harpsfeldi	nicolaus harpsfeldius	3	3	True	Nicolaus Harpsfeldius
harrison	guilielmus harrisonus	5	5	True	Guilielmus Harrisonus
helen	legenda helenae	3	3	False	legenda Helenae
henric	tempus henrici	4	3	False	tempus Henrici
hermianens	facundus hermianensis	3	3	True	Facundus Hermianensis
hid	duodecim hidas	3	3	False	duodecim hidas
hieronym	beatus hieronymus	3	3	False	beatus Hieronymus
hieronym	scripsit hieronymus	3	3	False	scripsit Hieronymus
histor	floribus historiarum	3	3	False	floribus historiarum
histori	britannica historia	9	9	False	Britannica historia
histori	britannicae historiae	5	5	False	Britannicae historiae
histori	ecclesiasticae suae historiae	4	4	False	ecclesiasticae suae historiae
histori	galfridi monemuthensis historia	4	4	False	Galfridi Monemuthensis historia
histori	libro primo historiae	3	3	False	libro primo historiae
histori	libro secundo historiae	3	3	False	libro secundo historiae
histori	majore historia	5	4	False	majore historia
